ángelait	ángelaite
äsen	browsing
äskulapstab	caduceus
äskulap	asclepius
äsop	aesop
ästchen	branchlet
äste	boughs
ästhesiometer	aesthesiometer
ästhesiometrie	aesthesiometry
ästhesiophysiologie	aesthesiophysiology
ästhetentum	aestheticism
ästhetikerin	aesthete
ästhetiker	aesthete
ästhetik	aesthetic
ästhetin	aesthete
ästhetisierung	aestheticisation
ästhetizismus	aestheticism
ästhetizistin	aestheticist
ästhetizist	aestheticist
ästhet	aesthete
ästivation	aestivation
ästuare	estuaries
ästuarien	estuaries
ästuarium	estuary
ästuarmündung	estuary
ästuar	estuary
äsung	grazing
äthanol	ethanol
äthan	ethane
ätheromane	etheromaniac
ätheromanie	etheromania
ätherophon	theremin
ätherwellengeige	theremin
ätherwellen	airwaves
äther	aether
äthin	ethyne
äthiopien	ethiopia
äthiopierinnen	ethiopians
äthiopierin	ethiopian
äthiopier	ethiopian
äthiopisch	ethiopic
äthrioskop	aethrioscope
äthylalkohol	ethanol
äthylen	ethylene
äthyle	ethyls
äthylismus	ethylism
äthyl	ethyl
ätiologie	aetiology
ätiopathogenese	aetiopathogenesis
ätolien	aetolia
ätolierin	aetolian
ätolier	aetolian
ätti	father
ätzen	cauterisation
ätzhügel	hillock
ätzkalk	quicklime
ätzkraft	causticity
ätzmedium	etchant
ätzmittel	caustic
ätzstern	sunspot
ätzung	cauterisation
äußeres	exterior
äußerlichkeiten	externals
äußerlichkeit	formality
äußerster	outmost
äußerstes	limit
äußerste	outmost
äußerungen	utterances
äußerung	commentary
äxte	axes
åkermanit	akermanite
ångström	angstrom
çeng	çeng
écu	écu
öömrang	öömrang
öcken	squid
öcke	squid
ödeme	edemata
ödemkrankheit	colienterotoxaemia
ödem	edema
ödenburg	sopron
öde	barrenness
ödflächen	wastes
ödipus	oedipus
ödland	badlands
ödnis	barrenness
öfen	furnaces
öffentlichkeit	publicity
öffnen	breaking
öffnerkontakt	breaker
öffner	breaker
öffnungen	apertures
öffnungszeiten	hours
öffnung	aperture
öhmd	aftergrass
öhr	eye
ökese	ecesis
ökobilanzierung	ecobalance
ökofaschismus	ecofascism
ökofeminismus	ecofeminism
ökofeministin	ecofeminist
ökofeminist	ecofeminist
ökofreak	ecofreak
ökoklimatologie	ecoclimatology
ökokratie	ecocracy
ökokritik	ecocriticism
ökologen	ecologists
ökologe	ecologist
ökologie	bionomics
ökologin	ecologist
ökologisierung	ecologisation
ökologismus	ecologism
ökomafia	ecomafia
ökomarkt	ecomarket
ökomorphologie	ecomorphology
ökomorphosen	ecomorphoses
ökomorphose	ecomorphosis
ökonomen	economists
ökonometrie	econometrics
ökonomie	economy
ökonomik	economics
ökonomin	economist
ökonomisierung	economisation
ökonomismus	economism
ökonom	economist
ökophysiologie	ecophysiology
ökopsychologie	ecopsychology
ökoregion	ecoregion
ökosteuer	ecotax
ökosysteme	ecosystems
ökosystem	ecosystem
ökotainment	ecotainment
ökoterrorist	ecoterrorist
ökoton	ecotone
ökotop	ecotope
ökotourismus	ecotourism
ökotoxikologe	ecotoxicologist
ökotoxikologie	ecotoxicology
ökotoxizität	ecotoxicity
ökotrophologe	ecotrophologist
ökotrophologie	ecotrophology
ökotrophologin	ecotrophologist
ökotypen	ecotypes
ökotypus	ecotype
ökotyp	ecotype
ökozentrismus	ecocentrism
ökozid	ecocide
ökumene	ecumene
ökumeniker	ecumenist
ökumenismus	ecumenism
ölbaron	petrocrat
ölbild	oil
ölbohrinsel	rig
ölbohrturm	pumpjack
öldämpfer	dashpot
öldistel	safflower
öldollar	petrodollar
öldruck	oleograph
öler	licker
öle	oils
ölförderturm	rig
ölfeld	oilfield
ölfisch	oilfish
ölfläschchen	cruet
ölfleck	spill
ölgemälde	oil
öligkeit	oiliness
ölkanal	oilway
ölkanne	oilcan
ölkrambe	colewort
ölkuchen	oilcake
ölleitung	oilway
ölmillionär	oilionaire
ölpeilstab	dipstick
ölquellen	spouters
ölquelle	spouter
ölsaaten	oilseeds
ölsaat	oilseed
ölsamen	oilseed
ölsperre	boom
ölstaat	petrostate
ölstein	arkansas
ölsucher	prospector
ölsumpf	oilsump
öltanker	supertanker
öltuch	oilskin
ölung	anointing
ölwahrsagung	oleomancy
ölwanne	oilsump
ölzeug	oilskins
öl	attar
önologe	enologist
önologie	enology
önotrier	oenotrii
öre	öre
örtchen	john
örtlichkeiten	localities
örtlichkeit	locale
ösenschraube	eyebolt
öse	dee
ösfass	bailer
ösis	austrians
ösi	austrian
ösophagektomie	esophagectomy
ösophagitis	esophagitis
ösophagi	esophagi
ösophagodynie	esophagodynia
ösophagogastroduodenoskopie	esophagogastroduodenoscopy
ösophagogastroskopie	esophagogastroscopy
ösophagogramm	esophagogram
ösophagologie	esophagology
ösophagoptose	esophagoptosia
ösophagoskop	esophagoscope
ösophagospasmus	esophagospasm
ösophagostomie	esophagostomy
ösophagotomie	esophagotomy
ösophagusplastik	esophagoplasty
ösophagus	esophagus
österreicherin	austrian
österreicher	austrian
österreichurlaub	holidays
österreich	austria
östradiol	estradiol
östriol	estriol
östrogen	estrogen
östron	estrone
östrus	estrus
übelkeit	brackishness
übelsein	nausea
übelstand	grievance
übeltäterin	wrongdoer
übeltäter	culprit
übeltätigkeit	mischievousness
übeltat	wrongdoing
übel	curse
überängstlichkeit	overanxiousness
überabtasten	oversampling
überabtastung	oversampling
überabzählbarkeit	uncountability
überaktivität	hyperactivity
überalterung	obsolescence
überangebot	glut
überanpassung	overmatching
überanstrengung	exhaustion
überantwortung	commitment
überarbeiten	refactoring
überarbeitung	edit
überaugenstreif	supercilium
überbau	attic
überbeanspruchung	overstraining
überbebauung	overdevelopment
überbefruchtung	superfetation
überbegriff	hypernym
überbehütung	overprotection
überbehaarung	hypertrichosis
überbehandlung	overtreatment
überbein	ganglion
überbelastung	overloading
überbelegung	overcrowding
überbelichtung	overexposure
überbenutzerin	superuser
überbenutzer	superuser
überberechnung	overcharge
überbereifung	oversizing
überbeschäftigung	overemployment
überbesetzen	overmanning
überbesetzung	overstaffing
überbesteuerung	overtaxation
überbestimmtheit	overdeterminacy
überbetonung	overemphasis
überbevölkerung	overcrowding
überbewertung	overassessment
überbezahlung	overpay
überbietung	outdoing
überbiss	overbite
überblattung	lap
überbleibsel	leftover
überblenden	fade
überblender	fader
überblendung	dissolve
überblicke	overviews
überblicksdarstellung	overview
überblick	overviews
überbordwerfen	jettison
überbrücker	jumper
überbrückungskabel	leads
überbrückungskredit	accommodation
überbrückung	bridge
überbringer	bearer
überbringung	presentation
überbuchung	overbooking
überdüngung	overfertilisation
überdachung	canopy
überdach	flysheet
überdecke	bedcover
überdeckung	overburden
überdehnung	distension
überdenken	reconsideration
überdeterminiertheit	overdetermination
überdimensionierung	overdimensioning
überdominanz	overdominance
überdosierung	overdosage
überdosis	overdose
überdrehen	overtwisting
überdrehmaschine	jigger
überdrehzahl	overspeed
überdruß	tedium
überdrucken	overprinting
überdruck	excess
überdruss	surfeit
übereifer	officiousness
übereignung	assignment
übereile	overhastiness
übereilung	abruptness
übereinkünfte	understandings
übereinkommen	accord
übereinkunftskopplung	handshaking
übereinkunft	accommodation
übereinstimmen	consilience
übereinstimmungen	accordances
übereinstimmung	accordance
überempfindlichkeit	hyperacusis
überentschädigung	overcompensation
überentwicklung	hypergenesis
übererfüller	overachiever
übererfüllung	overfulfillment
überernährung	overeating
übererregbarkeit	hyperarousal
übererregung	overexcitation
überessen	overeating
überexposition	overexposure
überexpression	overexpression
überfälle	inroads
überfälzung	shiplap
überführungen	crossovers
überführungsbauwerk	overpass
überführung	conveyance
überfüllen	trapping
überfüller	bleed
überfülle	abundance
überfüllung	congestion
überfahrt	crossing
überfall	aggression
überfamilie	superfamily
überfang	overlay
überfeinerung	overrefinement
überfinanzierung	overfinancing
überfischen	overfishing
überfischung	overfishing
überflüge	flyovers
überflüsse	exuberances
überflüssigkeit	expendability
überfließen	overflow
überflug	flyover
überfluss	abundance
überflutungsgebiet	tidewater
überflutung	flooding
überfordern	overtaxing
überforderung	overextension
überformung	transformation
überfrachtung	overload
überfremdung	hyperxenesis
überfuhr	ferry
überfunktionen	hyperfunctions
überfunktion	hyperfunction
übergänge	crossings
übergaben	committals
übergabevariable	parameter
übergabe	capitulation
übergangsepithel	urothelium
übergangslösung	makeshift
übergangsphase	liminality
übergangsstelle	connector
übergang	blending
übergardine	curtain
übergeber	presenter
übergebot	overbid
übergehen	skipping
übergehung	pretermission
übergelaufener	defector
übergeneralisierungen	overgeneralizations
übergeneralisierung	overgeneralization
übergeschnappter	mentalist
übergeschwindigkeit	overspeed
übergewicht	ascendance
übergewissenhaftigkeit	scrupulosity
übergießen	affusion
übergitter	superlattice
übergrößen	outsizes
übergröße	kingsize
übergreifungslänge	overlapping
übergreifung	encroachment
übergriffe	encroachments
übergriff	encroachment
überhöhtheit	elevatedness
überhöhung	camber
überhammer	stunner
überhandnehmen	prevalence
überhang	backlog
überheblichkeiten	arrogances
überheblichkeit	arrogance
überheizen	overheating
überheizung	overheating
überhitzen	overheating
überhitzer	superheater
überhitzung	hyperthermia
überholen	overtaking
überholer	overtaker
überholungsgleis	siding
überholung	overhaul
überholvorgang	overtaking
überich	superego
überidentifikation	overidentification
überinflation	hyperinflation
überinvestition	overinvestment
überjagen	overhunting
überjagung	overhunting
überkapazität	overcapacity
überkappung	capping
überkippung	overthrust
überklasse	superclass
überkompensation	overcompensation
überkompensieren	overcompensating
überkompensierung	overcompensation
überkonsolidierung	overconsolidation
überkonsum	overconsumption
überkorrektur	overcorrection
überkreuzen	crisscrossing
überkreuzprüfung	crosschecking
überkreuzungsempfindlichkeit	crossallergy
überkronung	crowning
überläuferin	defector
überläufer	defector
überläufe	spillways
überladenheit	floridity
überladen	overcharging
überladung	ornateness
überlagern	swapping
überlagerungen	superimpositions
überlagerungsempfänger	superhet
überlagerung	heterodyning
überlager	lintel
überlappen	overlapping
überlappung	imbrication
überlassen	abandoning
überlasser	dedicator
überlassung	abandonment
überlastung	congestion
überlast	overload
überlaufen	flooding
überlaufrohr	siphon
überlauf	overflow
überleben	alive
überlebender	survivor
überlebende	survivor
überlebensdauer	survival
überlebensfähigkeit	survivability
überlebensfall	survivorship
überlebenskünstlerin	survivalist
überlebenskünstler	survivalist
überleben	survival
überlebsel	survivals
überlegenheiten	advantages
überlegenheit	advantages
überlegungen	deliberations
überlegung	advisement
überleitung	transition
überlesen	skipping
überlieferungen	conventions
überlieferung	deliverance
überliegegeld	demurrage
überliegezeit	demurrage
überlistung	finessing
übermäßigkeit	excessiveness
übermächte	superiorities
übermüdung	fatigue
übermütigkeit	hilarity
übermaß	boundlessness
übermacht	superiority
übermalung	overpainting
übermantel	overcoat
übermenge	superset
übermenschen	supermen
übermensch	übermensch
übermittler	transmitter
übermittlung	channeling
übermodulation	overmodulation
übermodulierung	overmodulation
übermut	wantonness
übernähe	overcloseness
übernachtungsgast	overnighter
übernachtungszahlen	number
übernachtung	overnighter
übernahmen	takeovers
übernahme	absorption
übername	nickname
übernatur	supernature
übernehmer	transferee
übernutzung	overexploitation
überordnung	superorder
überparteilichkeit	nonpartisanship
überplakatieren	replacarding
überpopulation	overpopulation
überprägung	overprint
überprüfen	checking
überprüfer	collator
überprüfungen	checks
überprüfung	audit
überproduktionen	overproductions
überproduktion	hyperproduction
überquerung	crossing
überrüstung	transarmament
überraschungen	emergencies
überraschungsangriff	blitz
überraschung	astonishment
überreaktion	overreaction
überredbarkeit	persuasibility
überreden	cajoling
überreder	convincer
überredungskunst	persuasiveness
überredungsmittel	persuader
überredung	persuasion
überreichung	presentation
überreichweite	overreach
überreste	remains
überrest	leftover
überrock	overskirt
überrundung	lapping
übersättigungen	satieties
übersättigung	cloyingness
übersäuerung	acidosis
übersatz	overmatter
überschätzung	overassessment
überschäumen	ebullition
überschäumungen	ebullitions
überschüsse	overplusses
überschattung	adumbration
überschaubarkeit	straightforwardness
überschiebungsdecke	nappe
überschiebung	overthrust
überschirmungsfläche	canopy
überschläge	flashovers
überschlag	arcing
überschlauer	dweeb
überschneidungen	overlappings
überschneidung	imbrication
überschreiben	overwrite
überschreiten	malfeasance
überschreitung	exceedance
überschriften	headings
überschrift	caption
überschuhe	overshoes
überschuh	overshoe
überschuldung	insolvency
überschuss	balance
überschwängerung	superfecundation
überschwänglichkeit	ebullience
überschwang	abundance
überschwappen	spillover
überschwemmungen	floodings
überschwemmungsebene	floodplain
überschwemmung	cataclysm
überschwenglichkeit	ebullience
überschwingen	overshooting
überschwinger	overshoot
überseetelegramm	cablegram
übersehen	oversight
übersendbarkeit	transmissibility
übersender	remitter
übersendungen	consignments
übersendung	consignation
übersetzbarkeit	translatability
übersetzen	compiling
übersetzerinnen	translators
übersetzerin	translator
übersetzer	compiler
übersetzungen	translations
übersetzungsanweisung	directive
übersetzungsfehler	mistranslation
übersetzungsrichtung	directionality
übersetzung	translation
übersexualisierung	hypersexualization
übersichten	schemata
übersichtigkeit	hypermetropia
übersichtlichkeit	clarity
übersichtsarbeit	overview
übersichtsartikel	surveys
übersichtsaufnahme	topogram
übersichtsbild	survey
übersichtsdarstellung	overview
übersichtsplan	layout
übersicht	overviews
übersiedelung	relocation
übersiedlerin	migrant
übersiedler	migrant
übersiedlung	relocation
überspanntheiten	excentricities
überspanntheit	eccentricity
überspannungsableiter	arrester
überspannungsschutz	crowbar
überspannung	overvoltage
überspekulation	overtrading
überspezialisierung	overspecialisation
überspielen	overacting
überspielung	dubbing
überspitzung	exaggeration
übersprechen	crosstalk
überspringen	leapfrog
überstürzung	overhastiness
überstamm	superphylum
überstand	overhang
übersteigerung	excess
übersteiger	stepover
überstellung	transfer
übersteuern	oversteer
übersteuerung	blasting
überstimulation	hyperstimulation
überstimulierung	hyperstimulation
überstrahlen	blooming
überstrahlung	overexposure
überstrapazierung	overworking
überstrich	vinculum
überstrom	overcurrent
überstunden	overtime
überstunde	overtime
übertöten	overkill
übertünchen	whitewashing
übertünchung	whitewashing
übertageanlagen	pithead
übertastung	overscan
übertemperatur	overheat
übertherapie	overtherapy
übertitel	supertitle
übertopf	cachepot
überträger	carrier
übertragbarkeit	alienability
übertragender	transferor
übertragen	transferring
übertrager	transducer
übertragungen	transferences
übertragungseffekt	spillover
übertragungsfähigkeit	negotiability
übertragungsgerät	transmitter
übertragungslänge	transfersize
übertragungsurkunde	escrow
übertragungsverhältnis	transmittance
übertragung	impropriation
übertrag	borrow
übertraining	overtraining
übertreiben	hyperbolism
übertreiber	exaggerator
übertreibungen	exaggerations
übertreibung	aggrandizement
übertreter	violator
übertretungen	transgressions
übertretung	breach
übertriebenheit	exaggeratedness
übertritte	joinings
übertritt	transfer
übervölkerungen	overpopulations
übervölkerung	congestion
überventilation	hyperventilation
übervereinfachung	oversimplification
überversicherung	overinsurance
überversorgung	oversupply
übervertrauen	overconfidence
übervorrat	overstock
übervorsicht	overcaution
übervorteilungen	overreachings
übervorteilung	defraudation
übervulkanisation	overcure
überwältigung	overpowering
überwärmung	hyperthermia
überwässerung	hyperhydration
überwürfe	throws
überwacher	administrator
überwachungen	observations
überwachungsbeauftragter	watchdog
überwachungseinrichtung	invigilator
überwachungsfahrzeug	hoolivan
überwachungsgerät	monitor
überwachungsprogramm	monitor
überwachungsschaltung	watchdog
überwachungsstellen	checkpoints
überwachung	control
überwasserschiff	topsides
überweg	crosswalk
überweidung	overgrazing
überweisen	committal
überweiser	consigner
überweisungen	transferals
überweisungsabsender	remitter
überweisungsempfänger	remittee
überweisung	commitment
überwendlingsstich	whipstitch
überwiegen	predominance
überwinder	conqueror
überwindung	conquest
überwintern	overwintering
überwinterungsknospe	hibernaculum
überwinterung	hibernation
überwucherung	overgrowth
überwurfklammer	bracket
überwurfmutter	screwcap
überwurf	throw
überzüge	casings
überzahlung	overpayment
überzeichnung	oversubscription
überzeitlichkeit	timelessness
überzeit	overtime
überzelt	fly
überzeuger	convincer
überzeugungen	beliefs
überzeugungsarbeit	efforts
überzeugungskräfte	persuasions
überzeugungskraft	cogency
überzeugung	conviction
überziehanlage	enrober
überziehen	stall
überzieher	overcoat
überziehhose	overall
überziehungen	overdrafts
überziehung	overdraft
überziehweste	cardigan
überzogenheit	exorbitance
überzuckerung	hyperglycaemia
überzucker	hyperglycaemia
überzug	casing
überzwerg	jobsworth
üblichkeit	conventionality
übrigbleibsel	oddment
übriggebliebenes	remainder
übungen	exercises
übungsaufgaben	exercises
übungsaufgabe	exercise
übungsbuch	workbook
übungseinheit	workout
übungsflugzeug	trainer
übungsheft	jotter
übungsleiterin	trainer
übungsleiter	trainer
übungspuppe	dummy
übungsstück	étude
übungsstunde	lesson
übungstreffen	scrimmage
übung	drill
üdingen	udange
üppigkeit	abundance
à	at
äbtlich	abbatial
ächtend	outlawing
ächt	genuine
ächzend	groaning
äderig	veiny
ädrig	veiny
äffisch	apelike
ägäisch	aegean
ägyptisch	egyptian
ägyptisierend	egyptianizing
ägyptologisch	egyptological
ähm	err
ähnelnd	resembling
ähnelt	resembles
ähnlich	akin
ähnlicherweise	similarly
ähnlich	like
äh	uh
ältere	elder
älter	elder
ältere	older
älterer	elder
älter	older
älteste	earliest
ältlich	elderly
änderbar	alterable
ändernd	altering
änderungsbedürftig	novaturient
äneolithisch	aeneolithic
ängstlich	afraid
ängstlicher	scareder
ängstlich	fearful
ängstlichste	timidest
ängstlich	timidly
änigmatisch	enigmatic
äolisch	aeolian
äquatorial	equatorial
äquatorialguineisch	equatoguinean
äquidistant	equidistant
äquimolar	equimolar
äquimolekular	equimolecular
äquinoktial	equinoctal
äquipollent	equipollent
äquipotentiell	equipotential
äquipotenzial	equipotential
äquivalent	equipollent
äquivok	equivocal
ärgerlich	aggravating
ärgerlicher	angrier
ärgerlicherweise	annoyingly
ärgerlich	exasperating
ärgerlichste	angriest
ärgerlich	troublesome
ärgernd	chagrining
ärger	worse
ärgste	worst
ärmellos	sleeveless
ärmer	needier
ärmlich	bad
ärmlichste	poorest
ärmste	neediest
ärztlicherseits	medically
ärztlich	iatric
äschyleisch	aeschylean
äsend	grazing
äsopisch	aesopian
ästhetisch	aesthetic
ästhetisierend	aestheticising
ästhetisiert	aestheticised
ästig	branched
äthanolisch	ethanolic
ätherisch	aerial
äthiopisch	ethiopian
ätiologisch	aetiological
ätiotrop	aetiotropic
ätolisch	aetolian
ätzend	acrid
äußere	exterior
äußerlich	cortically
äußernd	uttering
äußerst	acutely
äußerste	consummate
äußerst	eminently
äußerste	outermost
äußerst	exceedingly
äußerste	furthest
äußerst	highly
öde	abandoned
ödemartig	edematous
ödematös	edematous
ödematogen	edematogenic
ödemerzeugend	edematogenic
ödemverursachend	edematogenic
ödeste	bleakest
öde	waste
ödipal	oedipal
öd	dull
öffenbar	openable
öffentlich	official
öffnend	aperient
öffnungsfähig	opening
öfter	oftener
öfters	occasionally
ökokratisch	ecocratic
ökologisch	bionomic
ökonometrisch	econometric
ökonomisch	economic
ökonomistisch	economistic
ökophysiologisch	ecophysiological
ökoskopisch	ecoscopic
ökotoxikologisch	ecotoxicological
ökumenisch	ecumenical
ölabweisend	oleophobic
ölartig	oillike
ölend	lubricating
ölfrei	oilless
ölhaltig	oily
öliger	oilier
ölig	oilily
öligste	oiliest
ölig	greasy
öllos	oilless
önologisch	oenological
örtlich	local
ösophageal	esophageal
ösophagokardial	cardioesophageal
ösophagopharyngeal	pharyngoesophageal
ösophagotracheal	esophagotracheal
österlich	easter
österreichisch	austrian
östlich	east
östlichste	easternmost
östrisch	oestrous
östrogen	estrogenic
übel	bad
übelerregend	sickening
übel	evil
übelgelaunt	crabbit
übelgenommen	resented
übel	ill
übelkeiterregend	nauseating
übellaunig	acrasial
übel	nasty
übelnehmend	miffing
übelnehmerisch	huffily
übel	noxious
übelriechender	smellier
übelriechend	fetid
übel	smelly
übeltönend	cacophonous
übel	uglily
übelwollend	malevolent
übel	sick
übend	exercising
überängstlich	overanxious
überörtlich	regional
überaß	overate
über	above
überabzählbar	nondenumerable
über	across
überakribisch	hypercritical
überaktiv	hyperactive
überall	allwhere
überallhin	abroad
überall	universally
überaltert	antiquated
überambitioniert	overachieving
über	anent
überansprucht	overburdened
überanstrengend	overexerting
überanstrengt	epitonic
überarbeitend	revising
überarbeitet	overhauled
überartikuliert	overarticulated
über	at
überaus	acutely
überbürokratisiert	overgoverned
überbackend	scolloping
überbacken	scalloped
überbauend	overbuilding
überbaut	overbuilt
überbeanspruchend	overusing
überbeansprucht	overstretched
überbehütend	overprotective
überbehütet	overprotected
überbeladen	overloaded
überbelastet	overburdened
überbelegt	overcrowded
überbelichtend	overexposing
überbelichtet	overexposed
überbemessen	overdesigned
überbescheiden	overmodest
überbesetzt	overstaffed
überbesteuernd	overtaxing
überbesteuert	overtaxed
überbetonend	overemphasizing
überbetont	overemphasized
überbevölkert	overcrowded
überbewertend	overvaluing
überbewertet	overprized
überbewusst	superconscious
überbezahlend	overpaying
überbezahlt	overpaid
überbietend	outbidding
überbietet	outbids
überblasend	overblowing
überblickend	surveying
überblickt	surveyed
überbordend	excessive
überboten	outbid
überbrückbar	bridgeable
überbrückend	bridging
überbrückt	bridged
überbracht	conveyed
überbrannt	overfired
überbreit	broadloom
überbuchend	overbooking
überbucht	overbooked
über	by
überdachend	roofing
überdacht	roofed
überdauernd	outlasting
überdauert	outlasted
überdeckend	overlaid
überdeckt	overlaid
überdem	moreover
überdenkend	mulling
überdeutlich	overarticulate
überdies	besides
überdimensional	colossal
überdimensioniert	inflated
überdrüssig	sick
überdrehend	overwinding
überdreht	overwound
überdreist	overbold
überdruckend	overprinting
überdruckt	overprinted
überdurchschnittlich	surpassing
überehrgeizig	overambitious
übereifrig	bustling
übereignet	assigned
übereilig	overhasty
übereilt	hasty
übereingestimmt	accorded
übereinkommend	agreeing
übereinstimmend	accordant
überempfindlich	hypersensitive
überentwickelnd	overdeveloping
überentwickelt	hypergenetic
übererdig	aboveground
übererfüllt	overfulfilled
übererregbar	hyperirritable
übererregt	overexcited
überessend	overeating
übereutektisch	hypereutectic
überfällig	overdue
überführbar	convertible
überführt	convicted
überfüllend	glutting
überfüllt	congested
überfürsorglich	overprotective
überfütternd	overfeeding
überfüttert	overfed
überfallartig	sudden
überfallend	attacking
überfallen	raided
überfangen	overlaid
überfein	overnice
überfeuert	overfired
überflügelnd	outflanking
überflüssig	adscititious
überflüssigerweise	superfluously
überflüssig	expendable
überfließend	flush
überfliegend	overflying
überfliegt	overflies
überflogen	overflown
überflossen	overflowed
überflutend	overrunning
überflutet	awash
überfordernd	overcharging
überfordert	overchallenged
überfrachtet	overloaded
übergangsweise	transitional
übergebührlich	supererogatory
übergeben	committed
übergebend	consigning
übergeben	delivered
übergebend	surrendering
übergeben	forwarded
übergegangen	merged
übergegessen	overeaten
übergegossen	spilled
übergegriffen	overlapped
übergehangen	overhung
übergehend	ignoring
übergekocht	overboiled
übergelaufen	overflowed
übergemeindlich	intercommunal
übergenau	meticulous
übergeordnet	overriding
übergeschnappt	crackers
übergesetzt	ferried
übergetitelt	titled
übergetreten	converted
übergewichtig	overweight
übergewissenhaft	scrupulous
überglücklich	delighted
übergossen	spilled
übergründlich	excessive
übergreifend	comprehensive
übergreift	overlaps
übergriffig	encroaching
übergroß	outsize
überhängend	beetle
überhäufend	glutting
überhöht	excessive
überhalb	above
überhandnehmend	prevalent
überhapps	hastily
überhastet	overhasty
überhaupt	absolutely
überheblich	arrogant
überheizend	overheating
überheizt	overheated
überhin	cursorily
überhitzt	overheated
überholend	outdistancing
überholt	deprecated
überindividuell	supraindividual
überinvestierend	overinvesting
überirdisch	superlunary
überkandidelt	kooky
überklug	sapient
überkochend	overboiling
überkommen	overcome
überkompensierend	overcompensating
überkompensiert	overcompensated
überkonfessionell	ecumenical
überkorrekt	prim
überkragend	overhanging
überkreuz	athwart
überkritisch	captious
überkront	capped
überkrustend	encrusting
überkrustet	encrusted
überkuppelt	domed
überladend	overcharging
überladen	flamboyant
überlagerbar	superposable
überlagernd	heterodyne
überlagert	overlaid
überlang	overlong
überlappend	overlapping
überlappt	interleaved
überlassen	ceded
überlassend	ceding
überlastend	overburdening
überlastet	overallocated
überlaufend	overflowing
überlaufen	overrun
überlaut	overloud
überlebend	outliving
überlebensfähig	survivable
überlebt	antiquated
überlegen	advantageous
überlegend	cogitating
überlegen	masterfully
überlegt	advised
überleitend	transitioning
überliefert	traditional
überlistend	outfoxing
überlistet	entrapped
überlistsicher	foolproof
überlistungssicher	tamperproof
übermäßig	augmented
übermächtig	overpowering
übermüdet	overfatigued
übermütig	boisterous
übermalend	repainting
übermalt	repainted
übermannt	overpowered
übermenschlich	herculean
übermittelnd	transceiving
übermittelt	transmitted
übermorgen	overmorrow
übermotorisiert	overpowered
übernatürlicher	weirder
übernatürlich	miraculous
übernatürlichste	weirdest
übernatürlich	supernatural
übernational	supranational
übernehmend	undertaking
übernommen	assumed
über	of
überoptimistisch	overoptimistic
über	over
überparochial	transparochial
überparteilich	bipartisan
überpersönlich	transpersonal
überpfarrlich	transparochial
überpositiv	extrapositive
überprüfbar	checkable
überprüfend	verifying
überprüft	audited
überproduzierend	overproducing
überproduziert	overproduced
überproportional	disproportional
überqualifiziert	overeducated
überquerbar	traversable
überquer	crosswise
überquerend	traversal
überquer	diagonally
überragend	commanding
überrannt	overrun
überraschend	astonishing
überraschenderweise	surprisingly
